order_id,ship_date,carrier,origin_city,origin_country,destination_city,destination_country,service_level,customer_segment,weight_kg,freight_cost,currency,transit_days,promised_days,status
ORD-102453,2025-11-14 00:00:00,Vantage,Hamburg,DE,Gothenburg,SE,Standard,Wholesale,19.38,77.83,EUR,2.0,4,DELIVERED
ORD-103841,2025-11-27,Nordfrakt AB,Gothenburg,SE,Bergen,NO,Standard,Retail,39.71,110.12,EUR,3.0,4,Delivered
ORD-102432,"May 29, 2025",Baltica Logistics A/S,Milan,IT,Manchester,GB,Standard,Retail,55.33,136.18,EUR,,4,Cancelled
ORD-103350,27/05/2025,nordfrakt,Gothenburg,SE,Malmo,SE,Standard,Wholesale,15.86,625.74,SEK,2.0,4,Delivered
ORD-101216,04/12/2025,Vantage Freight,Gothenburg,SE,Oslo,NO,Standard,E-Commerce,116.05,223.5,EUR,3.0,4,Delivered
ORD-104512,"May 07, 2025",kestrel,Hamburg,DE,Stockholm,SE,Standard,Retail,7.03,46.53,EUR,2.0,4,Delivered
ORD-103177,2025-08-11, Nordfrakt ,Barcelona,ES,Frankfurt,DE,Standard,Wholesale,29.43,66.93,EUR,3.0,4,Delivered
ORD-103787,2025-03-12 00:00:00,Vantage Freight Ltd,Gothenburg,SE,Cologne,DE,Standard,Retail,71.89,122.46,EUR,,4,Delivered
ORD-102079,09/05/2025, Nordfrakt ,Barcelona,ES,Geneva,CH,Economy,Industrial,23.31,44.25,EUR,6.0,7,Delivered
ORD-104015,2025-05-19 00:00:00,Meridian Expr,Gothenburg,SE,Gothenburg,SE,Standard,Wholesale,38.99,94.78,EUR,2.0,4,Delivered
ORD-100700,2025-12-11 00:00:00,Baltica Log.,Rotterdam,NL,Stockholm,SE,Standard,Industrial,54.62,103.81,EUR,2.0,4,Delivered
ORD-101406,2025-09-08 00:00:00,Kestrel Parcels AB,Milan,IT,Amsterdam,NL,Standard,Wholesale,47.14,1262.97,SEK,4.0,4,Delivered
ORD-104067,2025-10-20, Nordfrakt ,Rotterdam,NL, Frankfurt ,DE,Standard,Industrial,20.61,73.58,EUR,3.0,4,Delivered
ORD-104472,2025-11-24,nordfrakt,Milan,IT,Tampere,FI,Express,Retail,26.15,154.79,EUR,3.0,2,Delayed
ORD-102276,2025-06-24 00:00:00,Nordfrakt AB,Gothenburg,SE,Brno,CZ,Economy,Wholesale,11.29,32.94,EUR,6.0,7,Delivered
ORD-100213,03/11/2025, Nordfrakt ,Gothenburg,SE,Malmo,SE,Express,E-Commerce,5.88,80.14,USD,1.0,2,Delivered
ORD-102366,2025-09-02 00:00:00,Vantage,Barcelona,ES,Marseille,FR,Standard,Wholesale,55.06,105.84,EUR,3.0,4,Delivered
ORD-101260,25/07/2025,Nordfrakt AB,Gothenburg,SE,Oslo,NO,Economy,Wholesale,54.87,71.27,EUR,5.0,7,Delivered
ORD-103423,"Sep 29, 2025",Vantage Freight Ltd,Barcelona,ES,Krakow,PL,Express,Retail,44.17,195.32,EUR,2.0,2,Delivered
ORD-103512,"May 12, 2025",hanseatic line,Milan,IT, Paris ,FR,Economy,Retail,29.81,51.07,USD,7.0,7,Delivered
ORD-100195,2025-04-18 00:00:00,Hanseatic Lines,Milan,IT,Cologne,DE,Standard,Wholesale,44.2,71.66,EUR,4.0,4,Delivered
ORD-101564,2025-12-31,Vantage Freight,Hamburg,DE,Lyon,FR,Express,Retail,8.83,83.22,EUR,2.0,2,Delivered
ORD-100372,13/10/2025,kestrel,Hamburg,DE, Oslo ,NO,Standard,Wholesale,8.26,54.03,EUR,3.0,4,In Transit
ORD-102804,03/06/2025,KESTREL PARCEL,Hamburg,DE,Stockholm,SE,Standard,Industrial,32.46,73.12,EUR,2.0,4,Delivered
ORD-104632,2025-07-29,KESTREL PARCEL,Rotterdam,NL,Aarhus,DK,Standard,Wholesale,16.41,56.23,USD,3.0,4,Delivered
ORD-100695,"Jul 18, 2025",Hanseatic Line,Hamburg,DE,Gothenburg,SE,Express,Industrial,22.9,97.34,EUR,1.0,2,DELIVERED
ORD-103734,2025-08-25 00:00:00,Vantage Freight Ltd,Rotterdam,NL,Stockholm,SE,Standard,Industrial,21.78,68.0,USD,1.0,4,Delivered
ORD-103831,2025-06-20,Meridian Express,Hamburg,DE,Warsaw,PL,Standard,Retail,22.19,66.09,USD,2.0,4,Delivered
ORD-104728,2025-05-01 00:00:00,Meridian Expr,Gothenburg,SE,Zurich,CH,Standard,Retail,32.45,72.45,EUR,4.0,4,Delivered
ORD-103175,2025-12-31,baltica,Gothenburg,SE,Malmo,SE,Standard,Wholesale,7.98,39.42,EUR,2.0,4,Delivered
ORD-100892,"Dec 12, 2025",hanseatic line,Rotterdam,NL,Valencia,ES,Standard,Retail,26.27,96.1,USD,7.0,4,Delayed
ORD-103459,2025-10-06 00:00:00,Baltica Logistics,Rotterdam,NL,Geneva,CH,Standard,Retail,36.56,103.88,EUR,4.0,4,Delivered
ORD-100915,"Nov 07, 2025",MERIDIAN EXPRESS,Gothenburg,SE,Bergen,NO,Economy,Wholesale,4.62,36.86,EUR,6.0,7,Delivered
ORD-104576,2025-04-15,Meridian Expr,Gothenburg,SE,Vienna,AT,Standard,Retail,42.14,98.13,EUR,4.0,4,Delivered
ORD-104439,2025-08-20 00:00:00,baltica,Hamburg,DE, Amsterdam ,NL,Express,Industrial,22.81,121.32,EUR,2.0,2,Delivered
ORD-100275,2025-11-20 00:00:00,Meridian Express,Rotterdam,NL,Gothenburg,SE,Standard,Retail,42.54,114.98,EUR,2.0,4,Delivered
ORD-100950,"Apr 21, 2025", Nordfrakt ,Gothenburg,SE,Stockholm,SE,Express,Industrial,40.92,129.42,EUR,1.0,2,Delivered
ORD-100909,2025-04-20 00:00:00,nordfrakt,Milan,IT,Marseille,FR,Express,Retail,8.58,93.62,EUR,2.0,2,Delivered
ORD-100370,"Sep 01, 2025", Nordfrakt ,Gothenburg,SE,Malmo,SE,Express,E-Commerce,38.31,1695.71,SEK,1.0,2,Delivered
ORD-103135,"Mar 10, 2025",Baltica Logistics,Rotterdam,NL, Oslo ,NO,Standard,Wholesale,19.84,79.33,EUR,4.0,4,Delivered
ORD-104414,2025-11-25,Meridian Expr,Rotterdam,NL,Geneva,CH,Standard,Wholesale,42.32,126.46,EUR,4.0,4,Delivered
ORD-102787,2025-04-02 00:00:00,Baltica Logistics,Rotterdam,NL,Paris,FR,Express,E-Commerce,64.6,242.46,EUR,3.0,2,Delayed
ORD-102892,2025-09-17,KESTREL PARCEL,Rotterdam,NL,Stockholm,SE,Standard,E-Commerce,46.96,89.23,EUR,2.0,4,Delivered
ORD-101580,2025-08-11,MERIDIAN EXPRESS,Gothenburg,SE,Krakow,PL,Standard,E-Commerce,29.46,97.49,EUR,4.0,4,Delivered
ORD-104299,2025-04-21 00:00:00,MERIDIAN EXPRESS,Gothenburg,SE,Warsaw,PL,Standard,E-Commerce,11.43,57.66,EUR,4.0,4,Delivered
ORD-103250,2025-09-02,Kestrel Parcel,Gothenburg,SE, Lyon ,FR,Standard,Retail,15.11,65.68,EUR,5.0,4,Delayed
ORD-100004,"Oct 24, 2025",vantage freight,Hamburg,DE,Rome,IT,Express,Wholesale,12.51,123.55,EUR,3.0,2,Delayed
ORD-101533,"Jun 12, 2025",Baltica Logistics,Barcelona,ES,London,GB,Express,Retail,8.01,99.17,EUR,2.0,2,Delivered
ORD-102434,2025-11-03 00:00:00,hanseatic line,Hamburg,DE,Brno,CZ,Standard,Retail,28.54,83.61,EUR,5.0,4,Delayed
ORD-104354,"Nov 21, 2025",KESTREL PARCEL,Rotterdam,NL,Geneva,CH,Standard,E-Commerce,18.27,72.83,EUR,5.0,4,Delayed
ORD-103799,31/03/2025,Nordfrakt AB,Gothenburg,SE,Graz,AT,Express,Wholesale,24.93,187.63,USD,2.0,2,Delivered
ORD-101450,"Aug 09, 2025",Meridian Express,Milan,IT,Oslo,NO,Standard,Wholesale,17.07,69.7,USD,2.0,4,Delivered
ORD-104417,2025-05-25 00:00:00,Meridian Expr,Barcelona,ES,Rome,IT,Standard,E-Commerce,43.87,91.55,EUR,4.0,4,Delivered
ORD-104522,2025-12-22,Vantage,Milan,IT,Krakow,PL,Standard,Industrial,22.38,55.62,EUR,4.0,4,Delivered
ORD-103915,2025-04-12 00:00:00,baltica,Gothenburg,SE,Vienna,AT,Express,Wholesale,29.78,196.2,USD,2.0,2,Delivered
ORD-103432,2025-06-22 00:00:00,Nordfrakt AB,Gothenburg,SE,Brno,CZ,Economy,Industrial,7.28,41.1,USD,5.0,7,Delivered
ORD-104876,"Oct 13, 2025",Baltica Logistics A/S,Hamburg,DE,Berlin,DE,Economy,Industrial,46.06,653.33,SEK,5.0,7,Delivered
ORD-101077,2025-06-02,vantage freight,Milan,IT,Copenhagen,DK,Express,E-Commerce,10.09,68.94,EUR,2.0,2,Delivered
ORD-102174,07/07/2025, Meridian Express,Milan,IT,Cologne,DE,Standard,Industrial,45.52,99.05,EUR,3.0,4,Delivered
ORD-102012,24/05/2025,Nordfrakt AB,Rotterdam,NL,London,GB,Economy,Industrial,19.64,55.1,EUR,6.0,7,Delivered
ORD-101483,2025-05-01,baltica,Rotterdam,NL,Gothenburg,SE,Standard,Wholesale,32.55,915.21,SEK,2.0,4,Delivered
ORD-104892,2025-04-01,Nordfrakt,Rotterdam,NL,Krakow,PL,Express,E-Commerce,10.32,1094.3,SEK,3.0,2,Delayed
ORD-101662,"Jun 10, 2025", Nordfrakt ,Hamburg,DE,Lyon,FR,Express,Industrial,36.97,1817.41,SEK,3.0,2,Delayed
ORD-100625,"Jul 07, 2025",vantage freight,Rotterdam,NL,Amsterdam,NL,Standard,Retail,40.78,80.47,EUR,2.0,4,DELIVERED
ORD-101457,"Nov 05, 2025",Kestrel Parcel,Gothenburg,SE,Gdansk,PL,Economy,Retail,24.48,56.33,EUR,7.0,7,Delivered
ORD-104609,"Oct 27, 2025",MERIDIAN EXPRESS,Rotterdam,NL,Copenhagen,DK,Express,E-Commerce,23.24,134.31,EUR,1.0,2,Delivered
ORD-103096,2025-06-04,Nordfrakt AB,Gothenburg,SE,Tampere,FI,Economy,Wholesale,6.03,41.38,EUR,6.0,7,Delivered
ORD-103623,2025-10-29,nordfrakt,Milan,IT,Bergen,NO,Standard,Wholesale,26.74,77.75,EUR,3.0,4,DELIVERED
ORD-103478,2025-10-11, Nordfrakt ,Milan,IT,Oslo,NO,Economy,Wholesale,20.87,49.32,EUR,4.0,7,Delivered
ORD-101874,13/10/2025,Meridian Express,Rotterdam,NL,Stockholm,SE,Standard,Industrial,36.37,1001.71,SEK,1.0,4,Delivered
ORD-102258,03/03/2025,MERIDIAN EXPRESS,Gothenburg,SE,Vienna,AT,Standard,Retail,14.6,58.8,EUR,4.0,4,Delivered
ORD-101555,"May 29, 2025",Meridian Express,Gothenburg,SE,Helsinki,FI,Standard,E-Commerce,12.97,767.8,SEK,4.0,4,Delivered
ORD-102844,"Nov 06, 2025", Nordfrakt ,Hamburg,DE,Oslo,NO,Economy,Industrial,37.95,71.24,EUR,5.0,7,Delivered
ORD-103467,2025-07-20 00:00:00, Meridian Express,Hamburg,DE,Graz,AT,Standard,Wholesale,79.14,170.12,EUR,4.0,4,Delivered
ORD-100840,2025-08-06, Meridian Express,Gothenburg,SE,Cologne,DE,Standard,Industrial,47.61,113.72,EUR,3.0,4,Delivered
ORD-102845,2025-11-06 00:00:00,Nordfrakt AB,Hamburg,DE,Vienna,AT,Economy,Industrial,29.39,61.12,EUR,3.0,7,Delivered
ORD-100562,"Nov 26, 2025", Nordfrakt ,Rotterdam,NL,Frankfurt,DE,Standard,Industrial,27.92,920.41,SEK,3.0,4,Delivered
ORD-101962,2025-05-19, Nordfrakt ,Rotterdam,NL,Valencia,ES,Economy,Wholesale,19.41,544.1,SEK,4.0,7,Delivered
ORD-102094,29/05/2025,Meridian Express,Barcelona,ES,Munich,DE,Economy,Retail,31.79,47.37,EUR,5.0,7,Delivered
ORD-103782,2025-04-28 00:00:00,Meridian Express,Gothenburg,SE,Warsaw,PL,Standard,Wholesale,6.51,,EUR,,4,Delivered
ORD-100500,"May 02, 2025",Nordfrakt,Gothenburg,SE,Amsterdam,NL,Economy,Wholesale,42.78,65.27,EUR,4.0,7,Delivered
ORD-100868,03/11/2025, Nordfrakt ,Gothenburg,SE,Eindhoven,NL,Economy,Wholesale,26.53,52.59,EUR,5.0,7,Delivered
ORD-102864,2025-04-17,Vantage Freight Ltd,Gothenburg,SE,Marseille,FR,Standard,Industrial,37.78,71.42,EUR,3.0,4,Delivered
ORD-104938,"Aug 11, 2025",Nordfrakt,Rotterdam,NL,Krakow,PL,Standard,Wholesale,30.71,84.96,EUR,3.0,4,Delivered
ORD-104827,2025-12-21 00:00:00,Nordfrakt,Gothenburg,SE,Helsinki,FI,Standard,Wholesale,50.88,1207.53,SEK,5.0,4,DELAYED
ORD-104233,2025-07-24 00:00:00,MERIDIAN EXPRESS,Milan,IT,Lyon,FR,Standard,Industrial,28.44,88.68,USD,3.0,4,Delivered
ORD-104967,2025-09-02 00:00:00,nordfrakt,Rotterdam,NL,Paris,FR,Standard,Industrial,33.91,101.56,USD,3.0,4,Delivered
ORD-101849,30/05/2025,Nordfrakt AB,Hamburg,DE,Aarhus,DK,Economy,Wholesale,29.9,47.47,EUR,3.0,7,Delivered
ORD-103130,"Sep 15, 2025",KESTREL PARCEL,Milan,IT,Munich,DE,Standard,Industrial,39.55,101.01,EUR,5.0,4,Delayed
ORD-104534,"Mar 17, 2025",KESTREL PARCEL,Gothenburg,SE, Stockholm ,SE,Standard,Retail,15.08,50.32,EUR,2.0,4,Delivered
ORD-100723,"May 05, 2025",Baltica Logistics,Milan,IT,Aarhus,DK,Standard,Retail,23.37,69.97,EUR,2.0,4,Delivered
ORD-102763,2025-03-20, Nordfrakt ,Gothenburg,SE,Frankfurt,DE,Standard,Retail,9.29,42.11,EUR,3.0,4,Delivered
ORD-101918,03/11/2025,Kestrel Parcels AB,Gothenburg,SE,Vienna,AT,Standard,E-Commerce,30.25,103.97,EUR,4.0,4,Delivered
ORD-104075,13/03/2025, Nordfrakt ,Hamburg,DE,Stockholm,SE,Express,Wholesale,6.72,72.62,USD,1.0,2,Delivered
ORD-100138,08/09/2025,Nordfrakt AB,Gothenburg,SE,Zurich,CH,Standard,Retail,10.0,56.41,EUR,4.0,4,Delivered
ORD-104409,2025-08-25 00:00:00,nordfrakt,Hamburg,DE,Geneva,CH,Standard,Retail,15.56,68.63,EUR,3.0,4,Delivered
ORD-103916,,Meridian Expr,Hamburg,DE,Valencia,ES,Express,Wholesale,44.82,188.22,EUR,3.0,2,Delayed
ORD-100807,2025-04-30 00:00:00,Nordfrakt AB,Barcelona,ES,Stockholm,SE,Economy,E-Commerce,61.44,73.2,EUR,2.0,7,Delivered
ORD-104645,08/10/2025, Meridian Express,Rotterdam,NL,Bergen,NO,Economy,E-Commerce,4.12,35.86,USD,4.0,7,Delivered
ORD-102803,04/04/2025, Nordfrakt ,Rotterdam,NL,Malmo,SE,Express,Retail,26.03,105.47,EUR,1.0,2,Delivered
ORD-103989,"Nov 16, 2025", Nordfrakt ,Barcelona,ES,Amsterdam,NL,Standard,Industrial,21.19,38.11,EUR,3.0,4,Delivered
ORD-103936,2025-12-15 00:00:00,KESTREL PARCEL,Hamburg,DE,Lyon,FR,Standard,Industrial,7.39,59.79,EUR,,4,Delayed
ORD-103375,2025-12-03 00:00:00,Vantage Freight Ltd,Hamburg,DE,Geneva,CH,Standard,E-Commerce,77.77,152.42,EUR,5.0,4,Delayed
ORD-100718,"Jul 08, 2025",Hanseatic Lines,Milan,IT,Copenhagen,DK,Standard,Wholesale,60.6,129.55,EUR,3.0,4,Delivered
ORD-101684,13/09/2025,Meridian Express,Rotterdam,NL,Tampere,FI,Economy,Wholesale,34.85,66.91,EUR,6.0,7,Delivered
ORD-102464,2025-11-10 00:00:00,Nordfrakt AB,Barcelona,ES,Munich,DE,Standard,Industrial,22.75,67.81,EUR,3.0,4,Delivered
ORD-100886,30/03/2025,Vantage Freight Ltd,Milan,IT,Geneva,CH,Standard,Industrial,16.92,67.89,EUR,3.0,4,Delivered
ORD-103696,2025-08-17 00:00:00,MERIDIAN EXPRESS,Gothenburg,SE,Lyon,FR,Standard,Industrial,20.0,76.3,EUR,3.0,4,Delivered
ORD-104400,2025-09-25,hanseatic line,Rotterdam,NL, Amsterdam ,NL,Express,E-Commerce,14.04,93.94,EUR,2.0,2,Delivered
ORD-102443,25/06/2025, Meridian Express,Gothenburg,SE,Turin,IT,Economy,Retail,29.26,50.55,EUR,6.0,7,Delivered
ORD-102145,"Oct 30, 2025",Baltica Logistics,Rotterdam,NL,Warsaw,PL,Standard,Wholesale,12.89,52.69,USD,5.0,4,Delayed
ORD-100699,"Apr 22, 2025", Nordfrakt ,Hamburg,DE,Eindhoven,NL,Express,Industrial,9.24,87.96,USD,1.0,2,Delivered
ORD-100446,20/08/2025,KESTREL PARCEL,Rotterdam,NL,Vienna,AT,Economy,Industrial,13.35,529.69,SEK,6.0,7,Delivered
ORD-103086,2025-06-09,Hanseatic Lines,Rotterdam,NL,Paris,FR,Standard,E-Commerce,6.05,46.66,EUR,5.0,4,Delayed
ORD-103112,2025-04-02 00:00:00,nordfrakt,Rotterdam,NL,Eindhoven,NL,Express,Retail,54.7,231.62,EUR,2.0,2,Delivered
ORD-103341,15/08/2025,Vantage Freight,Rotterdam,NL,Valencia,ES,Standard,Wholesale,5.94,58.09,EUR,4.0,4,Delivered
ORD-104569,"Jun 21, 2025",baltica,Milan,IT,Paris,FR,Standard,Wholesale,47.66,86.24,USD,3.0,4,Delivered
ORD-101561,2025-07-18 00:00:00,Hanseatic Lines,Gothenburg,SE,Madrid,ES,Economy,Wholesale,78.19,130.34,USD,10.0,7,Delayed
ORD-101602,,nordfrakt,Gothenburg,SE,Berlin,DE,Standard,E-Commerce,82.71,109.13,EUR,3.0,4,DELIVERED
ORD-102880,"Mar 24, 2025",Nordfrakt,Barcelona,ES, Bergen ,NO,Economy,Industrial,40.63,76.81,USD,3.0,7,Delivered
ORD-100188,2025-07-10 00:00:00, Meridian Express,Milan,IT,Lyon,FR,Standard,Retail,35.13,96.92,EUR,3.0,4,Delivered
ORD-103776,2025-12-18,kestrel,Rotterdam,NL,Turin,IT,Standard,Industrial,51.69,1337.63,SEK,6.0,4,Delayed
ORD-101868,2025-03-17 00:00:00,Kestrel Parcels AB,Barcelona,ES,Helsinki,FI,Economy,Retail,14.9,43.02,EUR,7.0,7,Delivered
ORD-102028,2025-12-15,Kestrel Parcels AB,Rotterdam,NL,Helsinki,FI,Economy,E-Commerce,11.61,41.69,EUR,9.0,7,Delayed
ORD-102928,"Jun 10, 2025",vantage freight,Gothenburg,SE,Oslo,NO,Economy,Retail,13.04,39.04,EUR,5.0,7,Delivered
ORD-100708,17/11/2025,Meridian Express,Hamburg,DE,Geneva,CH,Standard,E-Commerce,3.9,,EUR,4.0,4,Delivered
ORD-103544,2025-03-21,Nordfrakt,Hamburg,DE,Amsterdam,NL,Standard,Industrial,35.18,897.63,SEK,2.0,4,Delivered
ORD-101384,"Sep 29, 2025",Kestrel Parcels AB,Barcelona,ES,Frankfurt,DE,Standard,Retail,25.22,67.75,EUR,3.0,4,Delivered
ORD-100054,"Dec 01, 2025",Meridian Express,Hamburg,DE,Rome,IT,Standard,Industrial,11.69,82.88,EUR,4.0,4,Delivered
ORD-104796,02/12/2025,Meridian Express,Rotterdam,NL,Cologne,DE,Standard,E-Commerce,36.88,,SEK,2.0,4,Delivered
ORD-103792,"Jul 21, 2025",baltica,Hamburg,DE,Brno,CZ,Standard,E-Commerce,64.32,1491.83,SEK,4.0,4,Delivered
ORD-100594,25/08/2025,kestrel,Barcelona,ES,Brno,CZ,Standard,Industrial,18.29,80.51,EUR,3.0,4,Delivered
ORD-100800,07/03/2025,Meridian Express,Hamburg,DE, Stockholm ,SE,Standard,Retail,36.95,74.47,EUR,2.0,4,Delivered
ORD-103249,"Oct 03, 2025",kestrel,Hamburg,DE,Warsaw,PL,Standard,E-Commerce,31.02,1087.69,SEK,3.0,4,Delivered
ORD-103993,2025-08-04 00:00:00,KESTREL PARCEL,Milan,IT, Cologne ,DE,Economy,E-Commerce,24.43,54.64,USD,5.0,7,DELIVERED
ORD-100561,"Mar 24, 2025", Nordfrakt ,Gothenburg,SE,Berlin,DE,Economy,Retail,35.57,53.8,EUR,4.0,7,Delivered
ORD-102956,24/04/2025,Hanseatic Lines,Gothenburg,SE,London,GB,Standard,Wholesale,20.96,83.79,EUR,6.0,4,Delayed
ORD-103717,"Jul 16, 2025",Nordfrakt,Hamburg,DE,Prague,CZ,Economy,Industrial,6.2,32.8,USD,6.0,7,Delivered
ORD-100210,2025-07-22 00:00:00, Meridian Express,Gothenburg,SE,Brno,CZ,Express,Wholesale,25.2,128.32,EUR,3.0,2,Delayed
ORD-102855,"Apr 14, 2025",Meridian Expr,Gothenburg,SE,Zurich,CH,Economy,E-Commerce,23.69,49.48,EUR,7.0,7,Delivered
ORD-102810,2025-12-08 00:00:00,nordfrakt,Gothenburg,SE,Rome,IT,Economy,E-Commerce,23.5,62.63,EUR,6.0,7,Delivered
ORD-100678,13/12/2025,Vantage,Rotterdam,NL,Madrid,ES,Standard,E-Commerce,13.22,58.98,EUR,5.0,4,Delayed
ORD-102082,2025-08-26,baltica,Milan,IT,Krakow,PL,Economy,Wholesale,4.53,342.65,SEK,6.0,7,Delivered
ORD-100328,19/05/2025,KESTREL PARCEL,Gothenburg,SE,Valencia,ES,Economy,Industrial,12.95,48.16,EUR,,7,Delivered
ORD-103484,"Oct 10, 2025",Nordfrakt,Gothenburg,SE,Cologne,DE,Standard,Industrial,22.08,80.43,EUR,4.0,4,Delivered
ORD-102885,2025-05-24 00:00:00, Nordfrakt ,Milan,IT,Graz,AT,Economy,Retail,39.49,79.62,EUR,6.0,7,Delivered
ORD-103771,29/08/2025,Vantage,Gothenburg,SE, Graz ,AT,Standard,Wholesale,7.37,592.47,SEK,4.0,4,Delivered
ORD-103534,"Apr 18, 2025",Baltica Logistics,Hamburg,DE,Berlin,DE,Standard,Wholesale,14.33,60.49,EUR,3.0,4,Delivered
ORD-101381,"Aug 04, 2025",Vantage Freight Ltd,Gothenburg,SE,Lyon,FR,Express,Industrial,24.14,165.09,EUR,2.0,2,Delivered
ORD-104262,2025-08-08,Baltica Logistics,Hamburg,DE,Geneva,CH,Standard,Industrial,57.29,114.99,EUR,5.0,4,Delayed
ORD-101122,28/07/2025,Nordfrakt,Milan,IT,Warsaw,PL,Standard,E-Commerce,15.68,67.99,USD,4.0,4,Delivered
ORD-103164,12/05/2025,kestrel,Rotterdam,NL,Marseille,FR,Standard,Wholesale,19.95,65.67,EUR,,4,Delivered
ORD-103658,"Aug 31, 2025",Nordfrakt,Gothenburg,SE,Stockholm,SE,Express,Industrial,23.43,100.73,EUR,1.0,2,Delivered
ORD-102081,2025-04-21 00:00:00,nordfrakt,Barcelona,ES,Munich,DE,Standard,Retail,22.34,64.55,EUR,3.0,4,Delivered
ORD-100453,"Mar 14, 2025",Kestrel Parcels AB,Milan,IT,Copenhagen,DK,Standard,Industrial,17.29,67.63,EUR,3.0,4,Delivered
ORD-100187,26/09/2025,Vantage,Barcelona,ES,Rome,IT,Standard,E-Commerce,16.77,70.82,EUR,5.0,4,Delayed
ORD-101144,, Meridian Express,Gothenburg,SE,Gothenburg,SE,Express,Retail,42.98,151.96,USD,1.0,2,Delivered
ORD-101236,"Mar 03, 2025",MERIDIAN EXPRESS,Milan,IT, Prague ,CZ,Economy,Wholesale,20.38,60.74,USD,4.0,7,Delivered
