Order ID,Carrier,Ship Date,Service Level,Status,Origin City,Origin Country,Destination City,Destination Country,Customer Segment,Weight (kg),Freight Cost,Currency,Transit Days,Promised Days
ORD-100770,nordfrakt,"Feb 23, 2026",Economy,Delivered,Gothenburg,SE,Aarhus,DK,E-Commerce,80.92,101.2,EUR,3.0,7
ORD-103691,Meridian Express,2026-02-09,Standard,Delivered,Gothenburg,SE,Valencia,ES,Retail,14.8,49.8,USD,3.0,4
ORD-100964,Kestrel Parcels AB,04/08/2026,Economy,Delivered,Rotterdam,NL,Madrid,ES,Industrial,10.1,401.97,SEK,7.0,7
ORD-104385,Meridian Expr,2026-03-31,Standard,Delivered,Hamburg,DE,Zurich,CH,Industrial,8.29,57.28,USD,4.0,4
ORD-101096,nordfrakt,2026-06-02 00:00:00,Express,Delivered,Rotterdam,NL,Frankfurt,DE,E-Commerce,17.01,114.04,EUR,2.0,2
ORD-104309,Nordfrakt AB,26/01/2026,Standard,Delivered,Gothenburg,SE, Brno ,CZ,Wholesale,60.12,141.16,USD,4.0,4
ORD-102984,Hanseatic Line,2026-03-31,Standard,Delayed,Gothenburg,SE,Brno,CZ,Industrial,33.35,86.64,EUR,6.0,4
ORD-100194,KESTREL PARCEL,"Aug 10, 2026",Standard,Delivered,Milan,IT,Cologne,DE,Retail,12.46,52.26,EUR,4.0,4
ORD-101731,KESTREL PARCEL,10/07/2026,Economy,Delivered,Gothenburg,SE,Munich,DE,Industrial,34.85,67.28,EUR,5.0,7
ORD-103818,kestrel,2026-02-08 00:00:00,Express,DELAYED,Gothenburg,SE,Valencia,ES,E-Commerce,31.88,2137.09,SEK,3.0,2
ORD-100651,MERIDIAN EXPRESS,2026-02-23,Express,Delivered,Milan,IT,Aarhus,DK,Industrial,106.79,278.46,EUR,1.0,2
ORD-101227,Meridian Expr,"Aug 23, 2026",Standard,Delivered,Gothenburg,SE,Vienna,AT,Industrial,41.25,100.05,USD,4.0,4
ORD-104001, Nordfrakt ,2026-06-08 00:00:00,Standard,Delivered,Gothenburg,SE,Warsaw,PL,E-Commerce,7.75,47.38,EUR,4.0,4
ORD-101060,Meridian Express,28/04/2026,Standard,Delivered,Barcelona,ES,Tampere,FI,E-Commerce,36.61,90.01,EUR,4.0,4
ORD-103861, Nordfrakt ,2026-02-17 00:00:00,Standard,Delivered,Milan,IT,Graz,AT,E-Commerce,26.17,88.11,USD,4.0,4
ORD-103612, Meridian Express,2026-01-29 00:00:00,Standard,Delivered,Rotterdam,NL,Copenhagen,DK,E-Commerce,38.99,945.8,EUR,3.0,4
ORD-104838,Meridian Express,2026-06-11,Standard,Cancelled,Rotterdam,NL, Zurich ,CH,Wholesale,43.14,76.68,EUR,,4
ORD-100145,nordfrakt,2026-06-12 00:00:00,Express,Delivered,Rotterdam,NL,Madrid,ES,Industrial,21.36,161.9,USD,2.0,2
ORD-104823,nordfrakt,"Aug 18, 2026",Economy,Delivered,Rotterdam,NL,Malmo,SE,Retail,7.61,351.14,SEK,3.0,7
ORD-103416,nordfrakt,2026-02-02 00:00:00,Economy,Delivered,Barcelona,ES,Rome,IT,Industrial,17.19,53.08,USD,7.0,7
ORD-103354,Nordfrakt AB,"Aug 18, 2026",Standard,Delivered,Hamburg,DE,Gothenburg,SE,Industrial,45.18,91.52,EUR,2.0,4
ORD-101182,kestrel,16/03/2026,Express,Delayed,Rotterdam,NL,Krakow,PL,Wholesale,58.74,248.89,EUR,4.0,2
ORD-104513,Meridian Expr,"Jul 13, 2026",Standard,Delivered,Milan,IT,Rome,IT,E-Commerce,18.23,67.38,EUR,3.0,4
ORD-102376,Nordfrakt,2026-06-12 00:00:00,Standard,Delivered,Gothenburg,SE,Valencia,ES,Wholesale,22.48,82.44,EUR,4.0,4
ORD-103435,Meridian Expr,2026-01-27,Economy,Delivered,Gothenburg,SE,Geneva,CH,Industrial,7.29,36.72,EUR,5.0,7
ORD-104206,vantage freight,2026-07-13,Economy,Delivered,Gothenburg,SE,Rome,IT,Wholesale,38.11,56.08,EUR,5.0,7
ORD-100638,Vantage Freight,"May 10, 2026",Economy,Delivered,Gothenburg,SE,Valencia,ES,E-Commerce,11.11,45.0,EUR,6.0,7
ORD-102120,MERIDIAN EXPRESS,2026-04-27,Standard,Delivered,Gothenburg,SE, Frankfurt ,DE,Wholesale,26.88,65.97,EUR,3.0,4
ORD-100083,kestrel,01/06/2026,Standard,Delayed,Rotterdam,NL,Turin,IT,Retail,10.56,760.18,SEK,6.0,4
ORD-102527, Meridian Express,2026-08-03,Express,Delivered,Hamburg,DE,Gothenburg,SE,Retail,69.56,265.75,USD,1.0,2
ORD-103218,Nordfrakt,"Aug 24, 2026",Standard,Delayed,Hamburg,DE,Turin,IT,Retail,57.31,156.71,USD,5.0,4
ORD-101586,Vantage,2026-05-26,Standard,Delayed,Milan,IT,Tampere,FI,Industrial,19.44,81.3,USD,5.0,4
ORD-104980,Vantage Freight,08/07/2026,Standard,Delivered,Gothenburg,SE,Gothenburg,SE,Wholesale,7.77,581.92,SEK,2.0,4
ORD-102220,kestrel,"Aug 02, 2026",Standard,Delivered,Barcelona,ES,Malmo,SE,E-Commerce,7.82,44.41,EUR,2.0,4
ORD-100979, Meridian Express,"Jan 05, 2026",Economy,Delivered,Gothenburg,SE,Munich,DE,Industrial,22.1,45.68,EUR,3.0,7
ORD-100917,kestrel,2026-05-05 00:00:00,Standard,Cancelled,Hamburg,DE,Bergen,NO,E-Commerce,8.16,53.61,EUR,,4
ORD-100172,Kestrel Parcel,"Apr 28, 2026",Express,Delayed,Rotterdam,NL,Krakow,PL,Industrial,14.74,1823.57,SEK,3.0,2
ORD-101313,Vantage Freight Ltd,2026-06-12 00:00:00,Standard,Delivered,Gothenburg,SE,Bergen,NO,Industrial,9.06,54.83,EUR,3.0,4
ORD-100427,Nordfrakt AB,"May 18, 2026",Standard,Delivered,Hamburg,DE,Bergen,NO,Industrial,53.81,130.12,EUR,3.0,4
ORD-103593,Nordfrakt,2026-01-07,Express,Delayed,Milan,IT,Helsinki,FI,Industrial,6.21,104.07,EUR,,2
ORD-104311,Vantage,2026-06-15 00:00:00,Express,Delivered,Rotterdam,NL,Munich,DE,Industrial,25.79,133.76,EUR,2.0,2
ORD-103422, Nordfrakt ,2026-01-26,Express,Delayed,Milan,IT,Tampere,FI,E-Commerce,1.62,93.57,EUR,3.0,2
ORD-102916,MERIDIAN EXPRESS,2026-02-04 00:00:00,Standard,In Transit,Rotterdam,NL,Marseille,FR,Wholesale,25.13,68.46,EUR,3.0,4
ORD-102142,Kestrel Parcels AB,2026-08-11 00:00:00,Economy,Delivered,Hamburg,DE,Geneva,CH,Wholesale,14.08,38.57,USD,7.0,7
ORD-102817,Vantage Freight Ltd,2026-06-20 00:00:00,Standard,Delayed,Milan,IT,Krakow,PL,Industrial,27.34,91.14,EUR,5.0,4
ORD-104721,Nordfrakt,2026-06-01,Express,In Transit,Rotterdam,NL,Berlin,DE,Industrial,30.84,143.99,EUR,2.0,2
ORD-103408,nordfrakt,"Feb 25, 2026",Express,DELIVERED,Gothenburg,SE,Aarhus,DK,E-Commerce,10.6,898.94,SEK,1.0,2
ORD-102985,Hanseatic Lines,19/02/2026,Economy,Delivered,Gothenburg,SE,Amsterdam,NL,Industrial,7.37,,EUR,5.0,7
ORD-101584,Meridian Express,2026-02-13,Standard,Delivered,Gothenburg,SE, Zurich ,CH,E-Commerce,22.64,70.55,EUR,4.0,4
ORD-104639,Baltica Logistics,"Jul 18, 2026",Economy,Delivered,Gothenburg,SE,Helsinki,FI,Wholesale,27.27,49.64,USD,7.0,7
ORD-103763,nordfrakt,2026-02-13 00:00:00,Standard,Delayed,Gothenburg,SE, Turin ,IT,Wholesale,28.34,94.58,USD,5.0,4
ORD-101272, Nordfrakt ,2026-07-27 00:00:00,Express,Delivered,Hamburg,DE,Zurich,CH,Wholesale,22.74,139.23,EUR,2.0,2
ORD-104466,vantage freight,13/05/2026,Economy,Delivered,Rotterdam,NL,Lyon,FR,E-Commerce,34.91,59.31,EUR,5.0,7
ORD-101640,Meridian Express,"Apr 01, 2026",Standard,Delivered,Hamburg,DE,Marseille,FR,E-Commerce,9.64,46.18,EUR,3.0,4
ORD-101545,nordfrakt,2026-01-19,Express,Delayed,Rotterdam,NL,Turin,IT,Wholesale,28.62,1197.3999999999999,EUR,3.0,2
ORD-101061,Nordfrakt AB,13/03/2026,Standard,Delivered,Hamburg,DE,Stockholm,SE,Industrial,12.66,58.08,EUR,2.0,4
ORD-103725,Meridian Express,26/08/2026,Express,Delivered,Hamburg,DE,Amsterdam,NL,Industrial,10.17,96.72,USD,2.0,2
ORD-102610, Nordfrakt ,2026-08-17 00:00:00,Express,Delivered,Gothenburg,SE,Lyon,FR,Wholesale,19.32,131.68,EUR,2.0,2
ORD-104305,hanseatic line,2026-04-27,Standard,Delivered,Barcelona,ES,Eindhoven,NL,Retail,31.13,74.68,EUR,3.0,4
ORD-103547,nordfrakt,2026-06-28,Economy,Delivered,Barcelona,ES,Berlin,DE,Wholesale,39.03,62.47,EUR,4.0,7
ORD-103835,Nordfrakt AB,2026-04-02 00:00:00,Standard,Delivered,Rotterdam,NL,Amsterdam,NL,E-Commerce,25.87,66.49,EUR,2.0,4
ORD-102777,Nordfrakt AB,2026-07-09 00:00:00,Standard,Delivered,Rotterdam,NL,Malmo,SE,Industrial,18.0,60.13,EUR,2.0,4
ORD-104791,nordfrakt,2026-08-27,Standard,Delivered,Barcelona,ES, Paris ,FR,Wholesale,51.34,105.3,EUR,3.0,4
ORD-102194,KESTREL PARCEL,2026-02-24,Express,Delivered,Gothenburg,SE,Gothenburg,SE,Retail,19.43,108.48,EUR,1.0,2
ORD-103001,Vantage Freight Ltd,"Mar 04, 2026",Economy,Delivered,Rotterdam,NL, Prague ,CZ,Wholesale,12.12,41.7,EUR,5.0,7
ORD-104333, Meridian Express,2026-07-04,Economy,Delivered,Gothenburg,SE,Lyon,FR,Wholesale,40.67,79.16,USD,4.0,7
ORD-103046,Vantage,2026-04-06,Standard,Delivered,Milan,IT,Brno,CZ,Industrial,33.19,104.97,EUR,4.0,4
ORD-102386,nordfrakt,06/08/2026,Standard,Delivered,Milan,IT,Tampere,FI,E-Commerce,13.26,49.72,EUR,4.0,4
ORD-102547, Meridian Express,2026-01-16 00:00:00,Economy,Delivered,Milan,IT,Helsinki,FI,Wholesale,19.28,36.4,EUR,7.0,7
ORD-101873,Kestrel Parcel,30/07/2026,Economy,Delivered,Hamburg,DE,Berlin,DE,Industrial,29.15,34.17,EUR,6.0,7
ORD-100735,Vantage Freight Ltd,"Mar 04, 2026",Standard,Delivered,Rotterdam,NL,Amsterdam,NL,Retail,10.88,44.91,EUR,3.0,4
ORD-104668,HANSEATIC,2026-04-09 00:00:00,Economy,Delayed,Barcelona,ES,Valencia,ES,Industrial,19.56,57.92,EUR,10.0,7
ORD-103718,Kestrel Parcels AB,"Mar 10, 2026",Economy,Delayed,Hamburg,DE,Warsaw,PL,Retail,23.51,53.22,USD,8.0,7
ORD-100615, Meridian Express,"Feb 15, 2026",Economy,Delivered,Barcelona,ES,Marseille,FR,Industrial,16.35,35.86,EUR,5.0,7
ORD-103721,nordfrakt,14/01/2026,Economy,Delivered,Gothenburg,SE,Paris,FR,E-Commerce,15.27,44.15,EUR,4.0,7
ORD-103383,Baltica Logistics,2026-07-15,Economy,Delivered,Rotterdam,NL,Gdansk,PL,Retail,10.13,34.49,EUR,6.0,7
ORD-100207, Meridian Express,2026-08-17 00:00:00,Economy,Delivered,Hamburg,DE,Gothenburg,SE,Wholesale,17.21,458.17,SEK,3.0,7
ORD-101902,Vantage Freight Ltd,"Mar 31, 2026",Express,Delivered,Rotterdam,NL,Paris,FR,E-Commerce,5.87,94.56,EUR,2.0,2
ORD-102017,Baltica Log.,"Apr 03, 2026",Economy,DELIVERED,Hamburg,DE,Krakow,PL,E-Commerce,17.15,37.14,EUR,6.0,7
ORD-104356,Baltica Logistics,12/08/2026,Economy,Delivered,Hamburg,DE,Amsterdam,NL,Retail,42.62,54.66,EUR,5.0,7
ORD-101136,baltica,2026-04-02,Economy,Delivered,Hamburg,DE,Munich,DE,E-Commerce,2.77,25.55,EUR,4.0,7
ORD-101124,Nordfrakt AB,2026-06-05 00:00:00,Standard,In Transit,Gothenburg,SE,Paris,FR,Industrial,30.34,90.24,USD,4.0,4
ORD-103331,nordfrakt,"Jun 11, 2026",Standard,DELIVERED,Gothenburg,SE, Oslo ,NO,Retail,15.42,48.71,USD,3.0,4
ORD-102633,MERIDIAN EXPRESS,03/01/2026,Standard,Delayed,Rotterdam,NL,London,GB,Industrial,3.89,52.22,EUR,5.0,4
ORD-101765,Meridian Expr,2026-07-27 00:00:00,Standard,Delivered,Gothenburg,SE,Copenhagen,DK,E-Commerce,58.62,94.4,EUR,2.0,4
ORD-102421,Vantage Freight Ltd,2026-04-21 00:00:00,Standard,Delivered,Barcelona,ES,Malmo,SE,E-Commerce,21.38,62.16,USD,2.0,4
ORD-104007, Nordfrakt ,23/02/2026,Economy,Delivered,Gothenburg,SE,Warsaw,PL,Retail,17.96,50.51,EUR,6.0,7
ORD-102123,Hanseatic Line,2026-01-29,Standard,Delayed,Gothenburg,SE,Frankfurt,DE,Retail,44.41,104.95,EUR,5.0,4
ORD-101209,HANSEATIC,"Aug 11, 2026",Express,Delayed,Gothenburg,SE,Oslo,NO,E-Commerce,36.19,185.93,EUR,4.0,2
ORD-104288,KESTREL PARCEL,2026-04-24,Economy,Delivered,Hamburg,DE,Warsaw,PL,Retail,10.93,43.35,EUR,6.0,7
ORD-104432,Meridian Express,2026-07-07,Standard,Delivered,Gothenburg,SE,Krakow,PL,Industrial,17.83,70.92,EUR,4.0,4
ORD-100640, Meridian Express,"Mar 04, 2026",Standard,Delivered,Hamburg,DE,Helsinki,FI,E-Commerce,47.98,102.36,EUR,4.0,4
ORD-101723,Vantage,2026-04-06 00:00:00,Express,Delivered,Gothenburg,SE,Frankfurt,DE,E-Commerce,27.43,155.32,EUR,1.0,2
ORD-103533,Hanseatic Lines,2026-08-26,Standard,Delayed,Gothenburg,SE,Marseille,FR,Retail,10.15,559.13,SEK,6.0,4
ORD-101335, Nordfrakt ,2026-08-31 00:00:00,Standard,Delivered,Hamburg,DE,Berlin,DE,Retail,56.16,106.2,EUR,3.0,4
ORD-103766,Baltica Logistics A/S,"Mar 08, 2026",Economy,Delivered,Hamburg,DE,Lyon,FR,Industrial,21.11,47.24,EUR,5.0,7
ORD-104640,Meridian Express,2026-06-08,Economy,Delivered,Hamburg,DE,Helsinki,FI,E-Commerce,3.68,32.22,EUR,6.0,7
ORD-102004,nordfrakt,2026-05-13 00:00:00,Economy,Delivered,Barcelona,ES,Turin,IT,E-Commerce,5.76,37.47,USD,5.0,7
ORD-100474,kestrel,"Feb 12, 2026",Standard,Delivered,Gothenburg,SE, Malmo ,SE,Wholesale,48.01,85.39,EUR,2.0,4
ORD-101107,Meridian Expr,13/07/2026,Economy,Delivered,Barcelona,ES,Stockholm,SE,Wholesale,5.95,22.99,EUR,3.0,7
ORD-101003,MERIDIAN EXPRESS,2026-06-30 00:00:00,Economy,Delivered,Gothenburg,SE,Bergen,NO,Industrial,15.5,44.63,EUR,6.0,7
ORD-103353,MERIDIAN EXPRESS,"Apr 04, 2026",Standard,Delivered,Barcelona,ES,Frankfurt,DE,Retail,1.93,35.94,EUR,3.0,4
ORD-103357,vantage freight,2026-06-25 00:00:00,Express,Delivered,Hamburg,DE,Geneva,CH,Wholesale,9.1,1171.55,SEK,2.0,2
ORD-102158,KESTREL PARCEL,2026-05-21,Standard,Delivered,Hamburg,DE,Aarhus,DK,Wholesale,3.56,38.84,EUR,2.0,4
ORD-101683,Baltica Log.,"May 12, 2026",Standard,Delivered,Rotterdam,NL,Amsterdam,NL,E-Commerce,2.0,34.64,EUR,3.0,4
ORD-104546,Vantage,2026-01-19 00:00:00,Standard,Delivered,Gothenburg,SE,Aarhus,DK,Retail,3.78,36.11,EUR,2.0,4
ORD-102623, Nordfrakt ,2026-07-21 00:00:00,Express,Delivered,Gothenburg,SE,Stockholm,SE,E-Commerce,31.28,115.95,EUR,1.0,2
ORD-103976, Nordfrakt ,"Feb 17, 2026",Economy,Delivered,Rotterdam,NL,Brno,CZ,Industrial,33.88,60.23,USD,7.0,7
ORD-102827,kestrel,2026-07-31 00:00:00,Economy,DELIVERED,Gothenburg,SE,Oslo,NO,Retail,38.91,62.69,EUR,6.0,7
ORD-103471,Baltica Logistics A/S,2026-04-14,Standard,Delivered,Gothenburg,SE,Rome,IT,E-Commerce,34.69,94.22,EUR,4.0,4
ORD-102450,Vantage Freight,2026-06-05 00:00:00,Standard,Delivered,Gothenburg,SE,London,GB,Industrial,35.61,86.26,EUR,4.0,4
ORD-102962,KESTREL PARCEL,"Aug 17, 2026",Express,Delivered,Gothenburg,SE,Cologne,DE,Wholesale,15.4,113.48,EUR,2.0,2
ORD-104601, Meridian Express,2026-08-03,Standard,Delivered,Gothenburg,SE,Geneva,CH,Retail,10.31,57.98,EUR,4.0,4
ORD-101648,MERIDIAN EXPRESS,2026-08-19,Standard,Delivered,Rotterdam,NL,Brno,CZ,Industrial,52.05,137.95,EUR,3.0,4
ORD-100929,Meridian Expr,2026-01-12 00:00:00,Economy,Delivered,Gothenburg,SE,Malmo,SE,Industrial,76.33,98.97,EUR,3.0,7
ORD-101721,Vantage Freight Ltd,2026-04-13,Express,Delivered,Hamburg,DE,Cologne,DE,Wholesale,4.86,90.25,EUR,2.0,2
ORD-104996,MERIDIAN EXPRESS,14/04/2026,Standard,Delivered,Milan,IT,Berlin,DE,E-Commerce,20.85,67.1,EUR,3.0,4
ORD-102425,Baltica Logistics A/S,2026-01-03,Economy,Delivered,Milan,IT,Krakow,PL,E-Commerce,30.79,65.19,EUR,7.0,7
ORD-103935, Nordfrakt ,2026-06-10 00:00:00,Standard,Delivered,Barcelona,ES,Oslo,NO,E-Commerce,10.52,47.9,EUR,4.0,4
ORD-103541,HANSEATIC,"Jan 13, 2026",Economy,Delayed,Rotterdam,NL,Zurich,CH,Wholesale,68.38,100.3,EUR,8.0,7
ORD-103739,Kestrel Parcels AB,2026-06-01,Standard,Delivered,Gothenburg,SE,Munich,DE,Retail,31.38,750.6,EUR,4.0,4
ORD-101447,MERIDIAN EXPRESS,2026-08-09 00:00:00,Standard,Delivered,Rotterdam,NL,Brno,CZ,Industrial,14.78,722.01,SEK,4.0,4
ORD-104474,baltica,2026-06-10 00:00:00,Economy,Delivered,Gothenburg,SE,Stockholm,SE,Industrial,32.58,57.68,EUR,3.0,7
ORD-104442,baltica,10/03/2026,Standard,Delivered,Gothenburg,SE,Zurich,CH,E-Commerce,20.53,7185.299999999999,SEK,4.0,4
ORD-100680,Meridian Expr,2026-04-02,Economy,Delivered,Gothenburg,SE,Oslo,NO,E-Commerce,7.06,334.19,SEK,4.0,7
ORD-102732, Nordfrakt ,2026-07-25,Standard,Delivered,Rotterdam,NL,Vienna,AT,Industrial,24.42,64.43,EUR,4.0,4
ORD-101143,Baltica Log.,"Jun 07, 2026",Economy,Delivered,Gothenburg,SE,Malmo,SE,Wholesale,18.05,436.27,SEK,5.0,7
ORD-101281,Kestrel Parcels AB,2026-04-10 00:00:00,Standard,Delayed,Gothenburg,SE,Rome,IT,Wholesale,18.6,68.48,USD,5.0,4
ORD-104073,nordfrakt,2026-07-31,Standard,Delayed,Hamburg,DE,Prague,CZ,Industrial,18.51,74.47,EUR,5.0,4
ORD-104436,MERIDIAN EXPRESS,2026-02-23 00:00:00,Economy,Delivered,Milan,IT,Berlin,DE,Industrial,41.88,66.81,EUR,4.0,7
ORD-102456, Meridian Express,"Jun 05, 2026",Standard,Delivered,Gothenburg,SE,Aarhus,DK,E-Commerce,18.83,54.74,EUR,2.0,4
ORD-100183,Meridian Express,18/03/2026,Standard,In Transit,Barcelona,ES,Gothenburg,SE,Retail,14.8,49.4,EUR,1.0,4
ORD-103064,Hanseatic Lines,"Mar 24, 2026",Standard,Delivered,Milan,IT,Munich,DE,Retail,39.98,99.25,USD,4.0,4
ORD-104748,nordfrakt,2026-06-18,Economy,Delivered,Hamburg,DE,Valencia,ES,E-Commerce,15.34,431.79,SEK,6.0,7
ORD-103473, Nordfrakt ,"Jun 30, 2026",Standard,Delivered,Hamburg,DE,Aarhus,DK,E-Commerce,49.58,104.99,EUR,2.0,4
ORD-101521,Nordfrakt AB,2026-03-26,Economy,Delivered,Hamburg,DE,Geneva,CH,Wholesale,42.51,824.5,SEK,4.0,7
ORD-100773,Nordfrakt AB,"Mar 30, 2026",Standard,Delivered,Hamburg,DE,Krakow,PL,Retail,29.15,72.1,EUR,3.0,4
ORD-103153, Nordfrakt ,11/05/2026,Economy,Delivered,Hamburg,DE,Helsinki,FI,Retail,11.03,39.8,EUR,5.0,7
ORD-101836, Nordfrakt ,"Jul 30, 2026",Economy,Delivered,Rotterdam,NL,Rome,IT,E-Commerce,24.4,58.75,EUR,4.0,7
ORD-104463,kestrel,2026-02-23,Express,Delivered,Gothenburg,SE,Geneva,CH,Retail,19.51,131.06,EUR,2.0,2
ORD-104573,Hanseatic Lines,"Jul 01, 2026",Standard,Delayed,Gothenburg,SE,Vienna,AT,Wholesale,26.06,96.93,USD,5.0,4
ORD-100588,baltica,2026-06-03 00:00:00,Express,Delayed,Hamburg,DE, Bergen ,NO,Retail,10.61,82.69,EUR,3.0,2
ORD-104124,kestrel,2026-05-08,Standard,Delayed,Gothenburg,SE,Valencia,ES,E-Commerce,31.97,98.69,USD,6.0,4
ORD-104902,hanseatic line,"Feb 05, 2026",Standard,Delayed,Rotterdam,NL,Madrid,ES,Retail,51.24,1115.47,SEK,7.0,4
ORD-101127,Baltica Logistics,14/02/2026,Standard,Delivered,Rotterdam,NL, Vienna ,AT,Retail,47.84,123.21,EUR,4.0,4
ORD-100676,nordfrakt,13/01/2026,Standard,Delivered,Barcelona,ES,Manchester,GB,E-Commerce,59.56,145.58,USD,,4
ORD-100470,nordfrakt,2026-04-10 00:00:00,Express,Delayed,Milan,IT,Berlin,DE,Wholesale,37.64,203.95,EUR,3.0,2
