CONSIGNMENT_NO;DESPATCH_DATE;HAULIER;COLLECT_CITY;COLLECT_CC;DELIVER_CITY;DELIVER_CC;SERVICE;ACCOUNT_TYPE;GROSS_WEIGHT_KG;NET_CHARGE;CCY;DAYS_IN_TRANSIT;SLA_DAYS;CONSIGNMENT_STATUS
ORD-104471;2026-06-25;KESTREL PARCEL;Gothenburg;SE;Gdansk;PL;Economy;E-Commerce;17.43;37.63;EUR;6.0;7;Delivered
ORD-104896;Jun 10, 2026; Nordfrakt ;Rotterdam;NL;Cologne;DE;Standard;Industrial;9.28;;EUR;3.0;4;Delivered
ORD-101454;09/01/2026; Meridian Express;Rotterdam;NL;Cologne;DE;Express;E-Commerce;27.87;170.93;USD;2.0;2;Delivered
ORD-103969;2026-02-03 00:00:00;Vantage Freight;Gothenburg;SE;Copenhagen;DK;Economy;Industrial;10.72;36.4;EUR;4.0;7;Delivered
ORD-104593;Apr 04, 2026;baltica;Hamburg;DE; Lyon ;FR;Express;E-Commerce;39.4;215.78;EUR;2.0;2;Delivered
ORD-103674;2026-02-18;Nordfrakt;Hamburg;DE;Eindhoven;NL;Economy;Industrial;6.69;31.75;EUR;3.0;7;Delivered
ORD-102112;2026-07-15 00:00:00;Meridian Express;Gothenburg;SE;Valencia;ES;Standard;Industrial;25.28;77.95;USD;5.0;4;Delayed
ORD-104665;28/05/2026;baltica;Milan;IT;Manchester;GB;Standard;Wholesale;44.45;107.85;EUR;4.0;4;Delivered
ORD-103447;2026-01-04;Meridian Expr;Gothenburg;SE;Vienna;AT;Standard;Industrial;9.43;51.31;EUR;4.0;4;Delivered
ORD-103176;2026-02-01 00:00:00;Nordfrakt AB;Milan;IT; Paris ;FR;Standard;Wholesale;23.75;86.73;USD;4.0;4;Delivered
ORD-102131;2026-08-18 00:00:00;vantage freight;Rotterdam;NL; Turin ;IT;Economy;E-Commerce;19.22;44.76;EUR;6.0;7;Delivered
ORD-100765;03/05/2026;Meridian Express;Milan;IT;Vienna;AT;Standard;Wholesale;17.23;62.01;EUR;3.0;4;Delivered
ORD-104263;2026-04-20;Vantage;Rotterdam;NL;London;GB;Standard;Retail;3.79;51.38;EUR;4.0;4;Delivered
ORD-101133;23/04/2026;Meridian Expr;Rotterdam;NL;Warsaw;PL;Standard;Industrial;28.99;70.24;EUR;4.0;4;Delivered
ORD-100394;2026-03-31 00:00:00;MERIDIAN EXPRESS;Rotterdam;NL;Lyon;FR;Standard;E-Commerce;32.89;80.34;EUR;4.0;4;Delivered
ORD-103626;Apr 28, 2026;HANSEATIC;Gothenburg;SE;Eindhoven;NL;Express;Retail;36.68;100.95;EUR;2.0;2;Delivered
ORD-100045;2026-08-15;Vantage;Rotterdam;NL;Helsinki;FI;Express;Industrial;38.27;216.19;USD;3.0;2;Delayed
ORD-103269;2026-08-22 00:00:00; Meridian Express;Milan;IT;Geneva;CH;Express;E-Commerce;20.64;124.71;EUR;2.0;2;Delivered
ORD-104585;Jan 30, 2026;Hanseatic Lines;Rotterdam;NL;Berlin;DE;Standard;Retail;19.67;625.06;SEK;4.0;4;Delivered
ORD-103487;2026-08-09;Hanseatic Lines;Rotterdam;NL;Gothenburg;SE;Standard;Industrial;2.82;34.79;EUR;3.0;4;Delivered
ORD-103924;14/02/2026;Nordfrakt AB;Gothenburg;SE;Berlin;DE;Standard;Wholesale;29.91;;EUR;3.0;4;Delivered
ORD-102184;2026-02-11 00:00:00;Vantage Freight Ltd;Gothenburg;SE;Amsterdam;NL;Express;Industrial;49.35;221.89;EUR;1.0;2;Delivered
ORD-102701;2026-05-11;Vantage Freight Ltd;Rotterdam;NL;Frankfurt;DE;Standard;Industrial;18.08;79.61;EUR;4.0;4;Delivered
ORD-102071;2026-02-19 00:00:00; Nordfrakt ;Milan;IT;Valencia;ES;Express;Wholesale;35.88;203.64;USD;3.0;2;Delayed
ORD-103095;2026-04-17 00:00:00;Meridian Expr;Rotterdam;NL;Turin;IT;Standard;Retail;8.86;57.07;EUR;3.0;4;Delivered
ORD-102364;2026-04-22 00:00:00;Meridian Expr;Hamburg;DE;Turin;IT;Standard;Industrial;13.49;60.87;EUR;4.0;4;Delivered
ORD-103983;2026-03-06;Nordfrakt AB;Gothenburg;SE;Munich;DE;Economy;Retail;5.76;32.89;EUR;5.0;7;Delivered
ORD-100074;Mar 12, 2026;Nordfrakt;Barcelona;ES;Madrid;ES;Economy;Wholesale;19.99;40.25;EUR;6.0;7;Delivered
ORD-101764;Jan 12, 2026;MERIDIAN EXPRESS;Hamburg;DE;Gdansk;PL;Economy;E-Commerce;40.9;69.59;EUR;5.0;7;Delivered
ORD-103543;2026-04-30 00:00:00;Vantage;Hamburg;DE;Turin;IT;Standard;Industrial;18.19;78.32;USD;4.0;4;Delivered
ORD-103238;2026-06-28 00:00:00;Nordfrakt;Hamburg;DE;Manchester;GB;Standard;Retail;13.8;65.86;USD;5.0;4;Delayed
ORD-100986;02/02/2026;Baltica Logistics;Hamburg;DE;Eindhoven;NL;Economy;Retail;7.38;35.28;USD;5.0;7;Delivered
ORD-100222;2026-03-23 00:00:00;Vantage;Milan;IT;Munich;DE;Standard;Industrial;76.92;175.62;EUR;;4;Cancelled
ORD-102566;May 14, 2026; Meridian Express;Gothenburg;SE;Zurich;CH;Economy;Wholesale;44.27;66.24;EUR;5.0;7;Delivered
ORD-101348;2026-04-08;KESTREL PARCEL;Rotterdam;NL;Helsinki;FI;Economy;E-Commerce;17.18;46.89;EUR;7.0;7;Delivered
ORD-102863;2026-02-02 00:00:00;Baltica Logistics;Hamburg;DE;Madrid;ES;Standard;Wholesale;16.72;70.86;EUR;4.0;4;Delivered
ORD-100347;2026-07-27;MERIDIAN EXPRESS;Gothenburg;SE;Cologne;DE;Economy;E-Commerce;38.88;63.09;EUR;4.0;7;Delivered
ORD-104682;2026-03-18 00:00:00;Vantage Freight Ltd;Gothenburg;SE;Marseille;FR;Standard;E-Commerce;24.42;67.19;EUR;3.0;4;Delivered
ORD-100530;23/01/2026;Meridian Expr;Hamburg;DE;Vienna;AT;Standard;Retail;49.67;1250.99;SEK;3.0;4;Delivered
ORD-101028;Jan 05, 2026;nordfrakt;Milan;IT;Marseille;FR;Standard;Industrial;24.76;63.66;EUR;3.0;4;Delivered
ORD-104570;2026-03-16 00:00:00;Baltica Logistics;Rotterdam;NL;Aarhus;DK;Express;E-Commerce;42.6;211.2;USD;2.0;2;Delivered
ORD-104755;26/01/2026;Hanseatic Line;Hamburg;DE;Graz;AT;Express;Industrial;11.31;113.49;USD;4.0;2;Delayed
ORD-101779;Mar 11, 2026;vantage freight;Hamburg;DE;Lyon;FR;Economy;Industrial;29.33;57.41;EUR;4.0;7;Delivered
ORD-103957;2026-04-08 00:00:00; Meridian Express;Gothenburg;SE;Prague;CZ;Standard;Retail;26.61;68.88;EUR;4.0;4;Delivered
ORD-103752;2026-08-10;baltica;Rotterdam;NL;Zurich;CH;Standard;E-Commerce;46.03;109.19;EUR;4.0;4;Delivered
ORD-103778;Aug 23, 2026;Baltica Log.;Gothenburg;SE;Madrid;ES;Economy;Retail;66.45;107.4;EUR;;7;Cancelled
ORD-104177;30/03/2026;Kestrel Parcels AB;Gothenburg;SE;Bergen;NO;Standard;E-Commerce;22.53;70.19;USD;4.0;4;Delivered
ORD-103491;12/02/2026;Baltica Logistics;Barcelona;ES;Bergen;NO;Standard;Retail;3.89;46.24;EUR;3.0;4;Delivered
ORD-104899;16/01/2026; Meridian Express;Hamburg;DE;Gothenburg;SE;Standard;Industrial;32.15;69.23;EUR;2.0;4;Delivered
ORD-102157;2026-02-11 00:00:00;nordfrakt;Barcelona;ES;Turin;IT;Express;Retail;56.65;261.6;USD;2.0;2;Delivered
ORD-101886;23/02/2026; Meridian Express;Gothenburg;SE;Paris;FR;Economy;E-Commerce;50.96;65.07;EUR;6.0;7;Delivered
ORD-101704;20/07/2026;Kestrel Parcel;Barcelona;ES;Frankfurt;DE;Economy;Retail;7.99;33.29;EUR;5.0;7;Delivered
ORD-104717;Aug 26, 2026;Vantage;Hamburg;DE;Geneva;CH;Standard;Wholesale;59.55;109.9;EUR;2.0;4;Delivered
ORD-103302;26/01/2026;Nordfrakt AB;Barcelona;ES;Zurich;CH;Economy;Retail;59.57;77.23;EUR;5.0;7;DELIVERED
ORD-103136;13/01/2026;kestrel;Rotterdam;NL;Munich;DE;Standard;E-Commerce;4.71;;EUR;4.0;4;Delivered
ORD-100311;2026-03-05;Vantage Freight;Rotterdam;NL;Oslo;NO;Standard;E-Commerce;4.15;464.86;SEK;4.0;4;Delivered
ORD-101631;2026-07-06 00:00:00;Hanseatic Lines;Rotterdam;NL;Amsterdam;NL;Economy;Wholesale;13.36;33.75;USD;6.0;7;Delivered
ORD-103628;Jun 08, 2026;Nordfrakt AB;Milan;IT;Berlin;DE;Standard;E-Commerce;17.26;55.82;EUR;4.0;4;Delivered
ORD-102067;2026-07-11; Meridian Express;Hamburg;DE;Munich;DE;Economy;Wholesale;39.36;78.78;USD;3.0;7;Delivered
ORD-101426;04/03/2026;Meridian Express;Hamburg;DE;Berlin;DE;Standard;E-Commerce;61.29;100.52;USD;3.0;4;In Transit
ORD-100357;2026-07-03;MERIDIAN EXPRESS;Gothenburg;SE;Paris;FR;Standard;Industrial;29.44;90.81;EUR;3.0;4;Delivered
ORD-101129;Feb 20, 2026;Vantage;Rotterdam;NL;Eindhoven;NL;Economy;Retail;42.01;58.63;EUR;3.0;7;Delivered
ORD-103966;2026-05-06 00:00:00;Baltica Logistics;Rotterdam;NL;Frankfurt;DE;Standard;Wholesale;73.56;1828.84;SEK;4.0;4;Delivered
ORD-104089;21/08/2026;Kestrel Parcel;Barcelona;ES;Manchester;GB;Standard;Industrial;5.86;37.58;EUR;3.0;4;Delivered
ORD-101827;2026-08-24;Vantage Freight Ltd;Gothenburg;SE;Stockholm;SE;Standard;Industrial;65.14;146.73;EUR;2.0;4;Delivered
ORD-100128;2026-01-12 00:00:00; Meridian Express;Rotterdam;NL;Prague;CZ;Economy;Retail;11.8;500.3;SEK;6.0;7;Delivered
ORD-100657;Feb 11, 2026;Baltica Logistics;Gothenburg;SE;Graz;AT;Express;Wholesale;24.7;119.95;EUR;2.0;2;Delivered
ORD-101246;Jun 16, 2026;Vantage;Gothenburg;SE;Brno;CZ;Standard;Wholesale;6.65;563.18;SEK;2.0;4;Delivered
ORD-100201;2026-07-13 00:00:00;Meridian Express;Rotterdam;NL;Manchester;GB;Standard;Wholesale;46.45;118.64;EUR;4.0;4;In Transit
ORD-101421;2026-08-31 00:00:00;baltica;Milan;IT;Rome;IT;Economy;Industrial;18.37;55.17;USD;6.0;7;Delivered
ORD-100954;2026-05-06;vantage freight;Milan;IT; Krakow ;PL;Economy;Industrial;34.31;52.73;EUR;6.0;7;Delivered
ORD-104350;29/01/2026;Nordfrakt AB;Gothenburg;SE;Madrid;ES;Economy;Industrial;24.02;53.14;EUR;8.0;7;Delayed
ORD-102361;Apr 17, 2026;Vantage Freight;Gothenburg;SE;Manchester;GB;Standard;Retail;72.26;126.17;EUR;3.0;4;Delivered
ORD-100593;2026-08-20 00:00:00;nordfrakt;Hamburg;DE;Oslo;NO;Standard;Retail;25.15;81.55;EUR;3.0;4;Delivered
ORD-101974;2026-01-01 00:00:00; Nordfrakt ;Hamburg;DE;Tampere;FI;Economy;Retail;47.82;89.08;EUR;6.0;7;Delivered
ORD-103894;2026-01-29;vantage freight;Rotterdam;NL;Berlin;DE;Standard;E-Commerce;13.18;60.33;EUR;3.0;4;DELIVERED
ORD-101980;24/02/2026;kestrel;Barcelona;ES;Krakow;PL;Standard;Wholesale;20.08;76.72;EUR;7.0;4;Delayed
ORD-102374;19/03/2026;Vantage Freight Ltd;Gothenburg;SE;Turin;IT;Economy;Wholesale;9.95;43.92;EUR;6.0;7;Delivered
ORD-104554;2026-03-25 00:00:00; Nordfrakt ;Rotterdam;NL;Cologne;DE;Standard;Industrial;84.21;157.35;EUR;4.0;4;Delivered
ORD-104449;07/07/2026;nordfrakt;Gothenburg;SE;Cologne;DE;Economy;Industrial;4.4;26.9;EUR;4.0;7;Delivered
ORD-101187;23/01/2026;Vantage Freight;Hamburg;DE;Malmo;SE;Economy;E-Commerce;32.59;44.96;EUR;3.0;7;Delivered
ORD-103403;Aug 24, 2026;Kestrel Parcel;Gothenburg;SE;Eindhoven;NL;Standard;E-Commerce;6.99;47.58;EUR;3.0;4;Delivered
ORD-100042;Mar 20, 2026;Kestrel Parcel;Milan;IT;Stockholm;SE;Express;Industrial;29.98;90.52;EUR;1.0;2;Delivered
ORD-102149;2026-06-12;nordfrakt;Barcelona;ES;Gothenburg;SE;Economy;E-Commerce;13.25;31.51;EUR;2.0;7;Delivered
ORD-101273;06/03/2026;Nordfrakt AB;Rotterdam;NL;Amsterdam;NL;Standard;Retail;14.27;44.81;EUR;2.0;4;Delivered
ORD-102182;2026-01-27 00:00:00;Nordfrakt;Rotterdam;NL; Krakow ;PL;Standard;E-Commerce;13.19;63.58;USD;3.0;4;Delivered
ORD-102795;2026-07-16;Meridian Express;Milan;IT;Frankfurt;DE;Standard;Industrial;16.17;59.42;USD;3.0;4;Delivered
ORD-102620;2026-06-09;Kestrel Parcels AB;Rotterdam;NL;Rome;IT;Standard;Retail;38.42;1110.9;SEK;5.0;4;Delayed
ORD-101898;2026-04-15 00:00:00;HANSEATIC;Milan;IT;Stockholm;SE;Economy;Retail;26.68;46.38;EUR;3.0;7;Delivered
ORD-103707;20/04/2026;Nordfrakt AB;Hamburg;DE;Oslo;NO;Express;E-Commerce;24.1;121.46;EUR;2.0;2;Delivered
ORD-103226;Jan 12, 2026;vantage freight;Gothenburg;SE;Turin;IT;Economy;Industrial;28.93;60.6;EUR;-5.0;7;Delivered
ORD-100604;May 28, 2026; Nordfrakt ;Gothenburg;SE;Turin;IT;Standard;E-Commerce;19.55;765.18;SEK;4.0;4;Delivered
ORD-101233;2026-04-16 00:00:00;KESTREL PARCEL;Gothenburg;SE;Lyon;FR;Express;E-Commerce;61.17;272.72;EUR;2.0;2;In Transit
ORD-100066;2026-07-11;vantage freight;Gothenburg;SE;Oslo;NO;Standard;E-Commerce;9.39;48.17;EUR;4.0;4;Delivered
ORD-101433;Jan 05, 2026; Nordfrakt ;Hamburg;DE;Cologne;DE;Economy;Retail;10.13;33.35;EUR;5.0;7;Delivered
ORD-100893;2026-08-21 00:00:00;nordfrakt;Gothenburg;SE;Cologne;DE;Standard;Industrial;16.97;68.33;EUR;5.0;4;Delayed
ORD-102588;2026-08-17;Meridian Expr;Gothenburg;SE;Malmo;SE;Standard;E-Commerce;26.55;70.95;USD;2.0;4;Delivered
ORD-100355;2026-08-27;Nordfrakt;Barcelona;ES;Stockholm;SE;Standard;Industrial;19.16;67.55;USD;1.0;4;Delivered
ORD-101842;2026-05-25;Kestrel Parcel;Rotterdam;NL;Manchester;GB;Express;Wholesale;10.88;97.52;EUR;3.0;2;Delayed
ORD-102407;2026-03-26;Vantage Freight;Barcelona;ES;Frankfurt;DE;Economy;E-Commerce;23.76;55.14;USD;4.0;7;Delivered
ORD-101314;2026-07-09;Vantage;Hamburg;DE;Geneva;CH;Standard;Retail;42.6;123.67;EUR;2.0;4;Delivered
ORD-103461;2026-08-03;Hanseatic Lines;Hamburg;DE;Paris;FR;Economy;Wholesale;18.31;44.12;EUR;4.0;7;Delivered
ORD-100041;2026-04-21 00:00:00;Kestrel Parcels AB;Rotterdam;NL;Stockholm;SE;Express;Wholesale;19.5;116.41;USD;2.0;2;Delivered
ORD-103592;24/08/2026;kestrel;Rotterdam;NL;Oslo;NO;Standard;Retail;12.99;67.35;USD;3.0;4;Delivered
ORD-103609;2026-03-06;MERIDIAN EXPRESS;Hamburg;DE;Stockholm;SE;Standard;E-Commerce;29.1;74.6;EUR;1.0;4;Delivered
ORD-101370;2026-06-29;Vantage Freight Ltd;Gothenburg;SE;Rome;IT;Standard;Industrial;41.17;62.85;USD;4.0;4;Delivered
ORD-101566;14/08/2026;MERIDIAN EXPRESS;Hamburg;DE;Tampere;FI;Economy;Industrial;46.5;73.03;EUR;5.0;7;Delivered
ORD-104849;Jul 08, 2026;Nordfrakt AB;Hamburg;DE;Bergen;NO;Standard;E-Commerce;23.78;55.16;EUR;3.0;4;Delivered
ORD-102437;07/03/2026;vantage freight;Barcelona;ES;Gothenburg;SE;Standard;Industrial;63.06;1042.53;SEK;2.0;4;Delivered
ORD-102999;2026-02-27;vantage freight;Rotterdam;NL;Valencia;ES;Standard;E-Commerce;25.95;76.81;EUR;5.0;4;Delayed
ORD-103316;2026-02-10 00:00:00; Meridian Express;Milan;IT;Warsaw;PL;Standard;Wholesale;9.22;64.84;USD;;4;Delivered
ORD-104952;May 04, 2026;KESTREL PARCEL;Milan;IT;Berlin;DE;Standard;Retail;21.39;77.24;EUR;4.0;4;Delivered
ORD-101317;19/01/2026;Nordfrakt;Gothenburg;SE;Lyon;FR;Economy;Retail;15.52;43.91;EUR;4.0;7;DELIVERED
ORD-103184;2026-02-09 00:00:00;Meridian Expr;Hamburg;DE;Munich;DE;Economy;E-Commerce;39.1;51.16;EUR;4.0;7;Delivered
ORD-100025;17/02/2026;Nordfrakt AB;Milan;IT;Rome;IT;Express;Industrial;45.63;210.3;USD;2.0;2;Delivered
ORD-103392;2026-05-12 00:00:00;Kestrel Parcel;Gothenburg;SE;Krakow;PL;Standard;Wholesale;21.26;70.23;EUR;5.0;4;Delayed
ORD-103611;2026-03-10;Vantage Freight Ltd;Hamburg;DE;Amsterdam;NL;Standard;Industrial;18.35;57.49;EUR;2.0;4;In Transit
ORD-101126;Jun 12, 2026;kestrel;Rotterdam;NL;Frankfurt;DE;Express;E-Commerce;4.31;53.55;EUR;2.0;2;Delivered
ORD-103577;Jun 15, 2026;Baltica Log.;Rotterdam;NL;Copenhagen;DK;Standard;Wholesale;9.09;47.57;EUR;2.0;4;Delivered
ORD-104850;2026-07-23 00:00:00;nordfrakt;Gothenburg;SE;Madrid;ES;Express;E-Commerce;22.53;174.36;USD;3.0;2;Delayed
ORD-103648;2026-08-31;Baltica Logistics A/S;Hamburg;DE;Warsaw;PL;Economy;Retail;36.47;68.54;EUR;4.0;7;Delivered
ORD-100586;Mar 16, 2026;HANSEATIC;Gothenburg;SE;Turin;IT;Express;Retail;31.66;134.79;EUR;4.0;2;Delayed
ORD-100601;2026-05-04 00:00:00;Nordfrakt AB;Gothenburg;SE;Berlin;DE;Standard;Industrial;27.99;70.2;EUR;4.0;4;Delivered
ORD-103186;27/04/2026;Nordfrakt AB;Gothenburg;SE;Zurich;CH;Standard;Wholesale;11.88;69.35;EUR;4.0;4;Delivered
ORD-102613;2026-01-22 00:00:00;nordfrakt;Milan;IT;Eindhoven;NL;Economy;Industrial;47.23;59.37;EUR;2.0;7;Delivered
ORD-100885;Apr 08, 2026;Nordfrakt;Barcelona;ES;Vienna;AT;Express;Wholesale;73.79;306.46;EUR;2.0;2;DELIVERED
ORD-104942;03/06/2026;baltica;Gothenburg;SE;Berlin;DE;Standard;Retail;33.53;69.43;EUR;4.0;4;Delivered
ORD-104549;Jun 21, 2026; Nordfrakt ;Gothenburg;SE;Cologne;DE;Economy;Wholesale;38.24;649.38;SEK;4.0;7;Delivered
ORD-104678;2026-02-23;hanseatic line;Gothenburg;SE;Bergen;NO;Economy;E-Commerce;22.36;41.7;EUR;6.0;7;Delivered
ORD-104136;2026-08-17 00:00:00;kestrel;Hamburg;DE; Paris ;FR;Express;Retail;33.07;177.02;USD;3.0;2;Delayed
ORD-104638;2026-02-02 00:00:00;vantage freight;Gothenburg;SE; Munich ;DE;Standard;Retail;60.34;135.38;USD;3.0;4;Delivered
ORD-102457;2026-07-27;KESTREL PARCEL;Rotterdam;NL;Vienna;AT;Standard;Retail;29.31;1098.1999999999998;USD;4.0;4;Delivered
ORD-100408;26/07/2026;Kestrel Parcels AB;Hamburg;DE;London;GB;Standard;Wholesale;7.51;54.49;EUR;5.0;4;Delayed
ORD-103265;Feb 16, 2026; Meridian Express;Rotterdam;NL;Turin;IT;Economy;Industrial;12.47;35.66;EUR;6.0;7;Delivered
ORD-102038;2026-08-25 00:00:00;KESTREL PARCEL;Rotterdam;NL;Rome;IT;Standard;Industrial;21.76;73.09;EUR;5.0;4;Delayed
ORD-103570;13/05/2026; Meridian Express;Rotterdam;NL;Lyon;FR;Standard;Wholesale;50.96;105.94;EUR;3.0;4;Delivered
ORD-101649;03/06/2026; Nordfrakt ;Barcelona;ES;Graz;AT;Economy;E-Commerce;44.22;54.59;EUR;6.0;7;Delivered
ORD-103891;22/07/2026;Nordfrakt AB;Gothenburg;SE;Brno;CZ;Standard;Industrial;54.57;112.0;EUR;4.0;4;Delivered
ORD-101087;26/08/2026;Nordfrakt;Milan;IT;Malmo;SE;Standard;Wholesale;5.26;48.82;USD;2.0;4;Delivered
ORD-104891;2026-01-08; Nordfrakt ;Barcelona;ES;Gothenburg;SE;Standard;Wholesale;99.42;152.84;EUR;2.0;4;Delivered
ORD-104189;Jul 08, 2026;Hanseatic Lines;Gothenburg;SE;Cologne;DE;Standard;Retail;39.28;88.27;EUR;5.0;4;Delayed
ORD-103909;Jul 13, 2026;baltica;Rotterdam;NL;Lyon;FR;Standard;Retail;9.22;51.92;USD;3.0;4;DELIVERED
ORD-101754;08/02/2026;nordfrakt;Milan;IT;Krakow;PL;Standard;Retail;17.79;64.33;EUR;3.0;4;Delivered
ORD-104012;2026-03-16 00:00:00;Baltica Logistics A/S;Gothenburg;SE;Rome;IT;Express;Retail;26.52;155.29;EUR;2.0;2;Delivered
ORD-100965;Jan 17, 2026;vantage freight;Milan;IT;Malmo;SE;Standard;Industrial;11.37;56.97;EUR;2.0;4;Delivered
ORD-101909;30/07/2026;nordfrakt;Gothenburg;SE; Malmo ;SE;Economy;Industrial;25.98;38.02;EUR;3.0;7;Delivered
ORD-104936;10/08/2026;Meridian Express;Milan;IT;Berlin;DE;Express;Wholesale;36.49;132.6;EUR;2.0;2;Delivered
ORD-100528;Jul 16, 2026;Baltica Log.;Gothenburg;SE;Madrid;ES;Standard;E-Commerce;26.07;87.88;EUR;4.0;4;Delivered
ORD-103202;Apr 27, 2026;Hanseatic Line;Barcelona;ES;Warsaw;PL;Economy;E-Commerce;9.78;31.54;EUR;5.0;7;Delivered
ORD-103225;28/04/2026;vantage freight;Rotterdam;NL;Cologne;DE;Standard;Retail;35.01;74.23;EUR;3.0;4;Delivered
ORD-101968;Jun 04, 2026;Baltica Logistics A/S;Hamburg;DE;Copenhagen;DK;Standard;Retail;54.13;110.93;EUR;3.0;4;Delivered
ORD-100027;2026-05-26 00:00:00;vantage freight;Hamburg;DE;Valencia;ES;Economy;Industrial;11.98;37.23;EUR;6.0;7;Delivered
ORD-101673;2026-04-21; Meridian Express;Rotterdam;NL;Oslo;NO;Standard;Industrial;31.05;72.02;USD;3.0;4;Delivered
ORD-101072;2026-04-20;Baltica Log.;Gothenburg;SE;Munich;DE;Express;Retail;17.27;131.18;EUR;2.0;2;Delivered
ORD-104071;04/05/2026; Nordfrakt ;Gothenburg;SE;Cologne;DE;Standard;Industrial;14.3;59.12;EUR;3.0;4;Delivered
ORD-103942;Jul 23, 2026;Meridian Express;Barcelona;ES;Marseille;FR;Economy;E-Commerce;26.18;40.65;EUR;5.0;7;Delivered
ORD-102302;2026-01-07 00:00:00;vantage freight;Milan;IT;Paris;FR;Economy;Wholesale;12.68;40.54;EUR;5.0;7;Delivered
ORD-103382;Aug 10, 2026;Nordfrakt AB;Hamburg;DE;Berlin;DE;Standard;Wholesale;42.9;111.74;EUR;3.0;4;Delivered
ORD-104355;2026-05-27 00:00:00;MERIDIAN EXPRESS;Rotterdam;NL;Helsinki;FI;Express;Retail;7.1;1061.2;EUR;3.0;2;DELAYED
ORD-100585;21/07/2026;kestrel;Barcelona;ES;Lyon;FR;Economy;Wholesale;57.66;81.22;EUR;4.0;7;Delivered
ORD-100710;2026-03-09 00:00:00;Nordfrakt AB;Rotterdam;NL;Geneva;CH;Express;Retail;25.98;136.12;EUR;2.0;2;Delivered
ORD-102615;2026-03-03 00:00:00;baltica;Hamburg;DE;Paris;FR;Standard;Industrial;10.58;53.32;EUR;4.0;4;Delivered
ORD-102965;20/01/2026;Vantage Freight;Gothenburg;SE;Zurich;CH;Express;Retail;9.68;114.37;EUR;3.0;2;Delayed
ORD-101437;Feb 23, 2026;Baltica Log.;Hamburg;DE;Lyon;FR;Standard;Retail;8.07;56.27;EUR;4.0;4;Delivered
ORD-103830;2026-07-06 00:00:00;Vantage Freight Ltd;Milan;IT;Turin;IT;Standard;Retail;30.6;80.57;EUR;4.0;4;Delivered
ORD-101553;2026-02-03;Nordfrakt AB;Gothenburg;SE;Warsaw;PL;Standard;E-Commerce;39.64;109.45;EUR;4.0;4;Delivered
ORD-104287;May 18, 2026;vantage freight;Rotterdam;NL;Berlin;DE;Standard;Industrial;10.84;42.37;USD;4.0;4;Delivered
